seed,e0_class_balanced_present_macro,e2_class_balanced_present_macro,max_single_class_balanced_present_macro,oracle_class_balanced_present_macro,oracle_headroom,e0_pooled_present,e2_pooled_present,oracle_pooled_present,choice_e0_count,choice_e2_count,tie_count,n_present_pairs
3407,0.4822491189438577,0.45212752038788306,0.4822491189438577,0.5204311695724686,0.03818205062861091,0.5159179518298816,0.4943226536669204,0.5540947662227383,45,37,7,82
1234,0.4515794558034236,0.5028394939993703,0.5028394939993703,0.5444402256734115,0.041600731674041214,0.5034901641334186,0.524878232591145,0.56839929106018,40,42,6,82
5678,0.4905477520759094,0.5073249648618731,0.5073249648618731,0.5405655526776325,0.03324058781575945,0.52543543199875,0.5327250913470731,0.5691006004934847,42,40,7,82
mean,,,,0.5351456493078376,0.03767445670613719,,,,,,,
sample_sd,,,,0.01288953870850282,0.004203122651718692,,,,,,,
