seed,selector_type,class,class_name,n_present_cases,baseline_e0_present_dice,baseline_e2_present_dice,best_single_present_dice,greedy_selector_present_dice,apparent_gain_vs_best_single,strict_volume_oracle,negative_slice_base_model,notes
3407,exploratory_positive_slice_delineation_gt_greedy_selector,1,EDH,6,0.46941982437608365,0.36016720601322727,0.46941982437608365,0.4913863198072593,0.021966495431175626,False,E0,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_bce_gt_guided_selector,1,EDH,6,0.46941982437608365,0.36016720601322727,0.46941982437608365,0.596936502522001,0.12751667814591738,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_dice_loss_gt_guided_selector,1,EDH,6,0.46941982437608365,0.36016720601322727,0.46941982437608365,0.5934784826198294,0.12405865824374573,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_highly_optimistic_slice_gt_greedy_selector,2,IPH,27,0.6588026659932509,0.6505965330552587,0.6588026659932509,0.7154193563847447,0.05661669039149386,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_positive_slice_delineation_gt_greedy_selector,2,IPH,27,0.6588026659932509,0.6505965330552587,0.6588026659932509,0.6810463890753238,0.022243723082072897,False,E0,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_bce_gt_guided_selector,2,IPH,27,0.6588026659932509,0.6505965330552587,0.6588026659932509,0.5624159224768355,-0.09638674351641541,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_dice_loss_gt_guided_selector,2,IPH,27,0.6588026659932509,0.6505965330552587,0.6588026659932509,0.552123119540019,-0.10667954645323185,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_highly_optimistic_slice_gt_greedy_selector,3,IVH,19,0.6441617563117379,0.5822252433313511,0.6441617563117379,0.6963898874570418,0.05222813114530389,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_positive_slice_delineation_gt_greedy_selector,3,IVH,19,0.6441617563117379,0.5822252433313511,0.6441617563117379,0.69178588252973,0.04762412621799206,False,E0,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_bce_gt_guided_selector,3,IVH,19,0.6441617563117379,0.5822252433313511,0.6441617563117379,0.24862581065669875,-0.39553594565503913,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_dice_loss_gt_guided_selector,3,IVH,19,0.6441617563117379,0.5822252433313511,0.6441617563117379,0.2537290387046425,-0.3904327176070954,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_highly_optimistic_slice_gt_greedy_selector,4,SAH,18,0.29927859593240197,0.2888808190575858,0.29927859593240197,0.3458919266815417,0.0466133307491397,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
