seed,model,original_nnunet_style_foreground_macro,presence_oracle_nnunet_style_foreground_macro,foreground_macro_gap_due_absent_fp,original_class_balanced_present_macro,oracle_class_balanced_present_macro,original_pooled_present,oracle_pooled_present,original_absent_fp_pairs,oracle_absent_fp_pairs,present_pair_dice_max_abs_change,method
3407,E0,0.27378895363599176,0.4822491189438577,0.20846016530786593,0.4822491189438577,0.4822491189438577,0.5159179518298816,0.5159179518298816,70,0,0.0,one-vs-rest class mask; GT-absent class prediction zeroed; no argmax/reassignment; both-empty excluded as NaN
3407,E2,0.28616442756224575,0.45212752038788306,0.16596309282563732,0.45212752038788306,0.45212752038788306,0.4943226536669204,0.4943226536669204,58,0,0.0,one-vs-rest class mask; GT-absent class prediction zeroed; no argmax/reassignment; both-empty excluded as NaN
1234,E0,0.27073313977081154,0.4515794558034236,0.1808463160326121,0.4515794558034236,0.4515794558034236,0.5034901641334186,0.5034901641334186,55,0,0.0,one-vs-rest class mask; GT-absent class prediction zeroed; no argmax/reassignment; both-empty excluded as NaN
1234,E2,0.26321597788313883,0.5028394939993703,0.2396235161162315,0.5028394939993703,0.5028394939993703,0.524878232591145,0.524878232591145,82,0,0.0,one-vs-rest class mask; GT-absent class prediction zeroed; no argmax/reassignment; both-empty excluded as NaN
5678,E0,0.26201657742798756,0.4905477520759094,0.22853117464792183,0.4905477520759094,0.4905477520759094,0.52543543199875,0.52543543199875,75,0,0.0,one-vs-rest class mask; GT-absent class prediction zeroed; no argmax/reassignment; both-empty excluded as NaN
5678,E2,0.2504461232918047,0.5073249648618731,0.25687884157006835,0.5073249648618731,0.5073249648618731,0.5327250913470731,0.5327250913470731,92,0,0.0,one-vs-rest class mask; GT-absent class prediction zeroed; no argmax/reassignment; both-empty excluded as NaN
